"Car_brand","Car_model","Mileage","Year","Transmission","Location","Fuel","Engine_Size (cc)","Price (£)","Car Type"
"Kia","e-Niro 2",23971,"2021","≈ 463 miles","London","Electric",0,15877,NA
"Jaguar","I-Pace 400 HSE 4WD",39941,"2020","≈ 470 miles","West Yorkshire","Electric",0,19898,NA
"Jaguar","I-Pace 400 HSE Black 4WD",27375,"2022","≈ 470 miles","Hampshire","Electric",0,25770,NA
"Mercedes","E220 E-Class",20528,"2021","Automatic","Hampshire","Diesel",2000,26310,"Coupe"
"Peugeot","2008",33067,"2022","Manual","Nottinghamshire","Petrol",1200,13872,NA
"Kia","EV6 GT AWD",20590,"2023","≈ 506 miles","Hampshire","Electric",0,33692,NA
"Kia","e-Niro 4+",38826,"2022","≈ 455 miles","Hampshire","Electric",0,17808,NA
"Tesla","Model 3 Standard Range Plus RWD",21797,"2021","≈ 448 miles","Staffordshire","Electric",0,18969,NA
"Jaguar","I-Pace 400 Black 4WD",9859,"2022","≈ 470 miles","London","Electric",0,27812,NA
"Ford","Mustang Mach-E Extended Range AWD",16689,"2021","≈ 550 miles","Leicestershire","Electric",0,27664,NA
"Kia","e-Niro 3",37498,"2022","≈ 463 miles","Staffordshire","Electric",0,16658,NA
"BMW","X3",26435,"2019","Automatic","West Yorkshire","Diesel",2000,24909,NA
"Jaguar","E-Pace",40101,"2020","Manual","Cambridgeshire","Diesel",2000,17830,NA
"Audi","Q7 45 TDI Quattro S Line Tiptronic",24309,"2022","Automatic","Durham","Diesel",3000,42586,NA
"BMW","218 2 Series",14257,"2021","Manual","Northamptonshire","Petrol",2000,17080,"Coupe"
"Skoda","Kamiq",14388,"2024","Automatic","Essex","Petrol",1500,18498,NA
"BMW","X3",28408,"2019","Automatic","Durham","Diesel",2000,23282,NA
"Kia","Sportage",9525,"2022","Automatic","Hampshire","Diesel",1600,25960,NA
"Audi","e-tron 50 Black Edition quattro Charger)",49788,"2022","≈ 341 miles","Hampshire","Electric",0,24895,NA
"BMW","X3",44095,"2018","Automatic","Hampshire","Diesel",2000,20810,NA
"BMW","X1 20d Sport Step",14600,"2018","Automatic","Essex","Diesel",2000,18779,NA
"Peugeot","3008",20842,"2020","Automatic","Lincolnshire","Hybrid",1600,18495,NA
"Suzuki","SX4 S-Cross",16516,"2023","Manual","London","Hybrid",1400,15871,NA
"Suzuki","SX4 S-Cross",14107,"2023","Manual","Manchester","Hybrid",1400,15507,NA
"Kia","Stonic",47553,"2022","Manual","Staffordshire","Petrol",1000,12350,NA
"Ford","Puma",18171,"2024","Manual","South Yorkshire","Hybrid",1000,16722,NA
"Audi","e-tron GT quattro quattro",9239,"2023","≈ 487 miles","Hampshire","Electric",0,48808,NA
"Jaguar","F-Pace Estate",20620,"2021","Automatic","London","Petrol",2000,33000,"Estate"
"Audi","RS e-tron GT Quattro",20093,"2021","≈ 472 miles","Hampshire","Electric",0,55590,NA
"Peugeot","2008",25671,"2019","Manual","West Midlands","Petrol",1200,10509,NA
"Peugeot","3008",36008,"2022","Automatic","Surrey","Petrol",1200,18523,NA
"Peugeot","208",11902,"2022","Manual","Merseyside","Petrol",1200,13578,NA
"Peugeot","408",18047,"2023","Automatic","London","Petrol",1200,21153,"Fastback"
"Peugeot","208",13373,"2023","Manual",NA,"Petrol",1200,14242,NA
"Peugeot","2008",10733,"2023","Automatic","Nottinghamshire","Petrol",1200,19785,NA
